detector,group,dataset,auc,auc_std,ap,ap_std,n_seeds
LOF,none,inj_amazon,0.5762292860538418,0.0,0.0572453887311365,6.938893903907228e-18,5
IDK,none,inj_amazon,0.2629631133629919,0.0,0.0325977218051889,0.0,5
iForest,none,inj_amazon,0.506373581312901,0.0,0.0497267807265046,0.0,5
ONE,indirect,inj_amazon,0.5012411815517821,0.0103476189896856,0.050437476005501,0.0018099855058627,5
Radar,indirect,inj_amazon,0.6559673577825909,0.0,0.0861916511430106,0.0,5
DOMINANT,indirect,inj_amazon,0.7150317051434898,4.240949303493141e-05,0.1179841198151823,6.264663894059738e-05,5
AnomalyDAE,indirect,inj_amazon,0.7519000023393744,0.0014103178594379,0.351438563719319,0.0013099073068207,5
DONE,indirect,inj_amazon,0.8523246760297551,0.0082495497217924,0.2206516033994314,0.0146591553084253,5
CoLA,indirect,inj_amazon,0.6162721583994795,0.0067401160263229,0.1327474730974788,0.0113344551347785,5
GCAD,indirect,inj_amazon,0.5682769029155226,0.0,0.0561863530894789,6.938893903907228e-18,5
GCAD+IDK,indirect,inj_amazon,0.3306193096373837,0.0,0.035362823596532,0.0,5
GAE,direct,inj_amazon,0.7107228644712152,0.0002089887158905259,0.12010628453919617,0.0002911015078614956,5
