detector,group,dataset,auc,auc_std,ap,ap_std,n_seeds
LOF,none,inj_cora,0.6925745784695201,0.0,0.1361729550771041,0.0,5
IDK,none,inj_cora,0.3184909490779901,0.0,0.035443837458362,0.0,5
iForest,none,inj_cora,0.3516692043083516,0.0,0.0374742877956746,0.0,5
ONE,indirect,inj_cora,0.4940111656234139,0.0304547640853777,0.0531481573820814,0.0051462196078205,5
Radar,indirect,inj_cora,0.5045381492133311,0.0,0.0480446907090382,0.0,5
DOMINANT,indirect,inj_cora,0.7672993853267919,5.9589068654921485e-05,0.1840492201024187,3.600525368292156e-05,5
AnomalyDAE,indirect,inj_cora,0.7110226695990526,0.0009707421211965,0.1370274091574117,0.0034380491610861,5
DONE,indirect,inj_cora,0.8287827778717645,0.0099300482538926,0.279029947200711,0.0300441285668472,5
CoLA,indirect,inj_cora,0.5293266790729149,0.0048196694516597,0.068345196561324,0.0068785225862072,5
GCAD,indirect,inj_cora,0.6044352337449952,0.0,0.0690630826721032,0.0,5
GCAD+IDK,indirect,inj_cora,0.6753439914284103,0.0,0.0964811885035009,0.0,5
GAE,direct,inj_cora,0.7230330457339422,0.002177414867484687,0.1671217079203806,0.0009150435014461915,5
