detector,group,dataset,auc,auc_std,ap,ap_std,n_seeds
LOF,none,weibo,0.677157073751326,0.0,0.1252232344247477,0.0,5
IDK,none,weibo,0.4086602320496286,0.0,0.0398603438474312,0.0,5
iForest,none,weibo,0.4540110138098212,0.0,0.0447531948017235,0.0,5
ONE,indirect,weibo,0.8684723792847675,0.0091740463301592,0.2889981403139757,0.0050163015681555,5
Radar,indirect,weibo,0.9492093703931797,1.1102230246251563e-16,0.3467613503576073,0.0,5
DOMINANT,indirect,weibo,0.8788838557346843,0.0038288480638431,0.2399207621336009,0.0078610511964176,5
AnomalyDAE,indirect,weibo,0.884443118800798,0.0117786781099451,0.2484003235288674,0.0270872414594716,5
DONE,indirect,weibo,0.8132013721842293,0.0069608032782785,0.2515180981160893,0.0085943330889553,5
CoLA,indirect,weibo,0.2364325141284763,0.0145323241868878,0.0420099187967986,0.0060713397771219,5
GCAD,indirect,weibo,0.5692971275257267,0.0,0.0596664076464639,0.0,5
GCAD+IDK,indirect,weibo,0.5201400079967784,0.0,0.0513397564905883,0.0,5
GAE,direct,weibo,0.15738174889114437,0.005028982477344999,0.023533158144786976,0.0002647982949833216,5
