detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
AnomalyDAE,indirect,A,global,0.0,0,1000,0.9661052631578948,0.7699252466897889
AnomalyDAE,indirect,A,global,0.0,1,1000,0.8532421052631579,0.2723973960606773
AnomalyDAE,indirect,A,global,0.0,2,1000,0.819178947368421,0.4135011771332549
AnomalyDAE,indirect,A,global,0.0,3,1000,0.9634315789473684,0.7033541250061317
AnomalyDAE,indirect,A,global,0.0,4,1000,0.930378947368421,0.6880746418824928
AnomalyDAE,indirect,A,global,0.1,0,1000,0.8035789473684211,0.413790465406743
AnomalyDAE,indirect,A,global,0.1,1,1000,0.960042105263158,0.7501883615841117
AnomalyDAE,indirect,A,global,0.1,2,1000,0.9829263157894736,0.7976530950339217
AnomalyDAE,indirect,A,global,0.1,3,1000,0.7589052631578947,0.2823434383734777
AnomalyDAE,indirect,A,global,0.1,4,1000,0.8617684210526316,0.5430761206683756
AnomalyDAE,indirect,A,global,0.2,0,1000,0.7699368421052633,0.1553197440301966
AnomalyDAE,indirect,A,global,0.2,1,1000,0.7384421052631579,0.1517511083291021
AnomalyDAE,indirect,A,global,0.2,2,1000,0.797957894736842,0.3836726954221505
AnomalyDAE,indirect,A,global,0.2,3,1000,0.7201473684210526,0.2505002949529541
AnomalyDAE,indirect,A,global,0.2,4,1000,0.6704631578947368,0.129404451084069
AnomalyDAE,indirect,A,global,0.3,0,1000,0.6310736842105263,0.1728192434241968
AnomalyDAE,indirect,A,global,0.3,1,1000,0.7337052631578947,0.2169982670268133
AnomalyDAE,indirect,A,global,0.3,2,1000,0.5831368421052631,0.2643001542281713
AnomalyDAE,indirect,A,global,0.3,3,1000,0.8689684210526316,0.276849479816743
AnomalyDAE,indirect,A,global,0.3,4,1000,0.4946526315789473,0.0853762850573459
AnomalyDAE,indirect,A,global,0.4,0,1000,0.6330947368421052,0.120761514998749
AnomalyDAE,indirect,A,global,0.4,1,1000,0.5202526315789473,0.0640186733562969
