detector,group,condition,camouflage,gamma,auc_mean,auc_std,auc_min,auc_max,ap_mean,ap_std,n_seeds,auc,ap
AnomalyDAE,indirect,A,global,0.0,0.9064673684210526,0.06675619908550438,0.819178947368421,0.9661052631578948,0.569450517354469,0.21491436070564038,5,0.9064673684210526,0.569450517354469
AnomalyDAE,indirect,A,global,0.1,0.8734442105263158,0.09698218427361796,0.7589052631578947,0.9829263157894736,0.557410296213326,0.21873150524364823,5,0.8734442105263158,0.557410296213326
AnomalyDAE,indirect,A,global,0.2,0.7393894736842105,0.048696495747239756,0.6704631578947368,0.797957894736842,0.21412965876369444,0.10558848765114023,5,0.7393894736842105,0.21412965876369444
AnomalyDAE,indirect,A,global,0.3,0.6623073684210526,0.1441857101967139,0.4946526315789473,0.8689684210526316,0.20326868591065406,0.07770659798427804,5,0.6623073684210526,0.20326868591065406
AnomalyDAE,indirect,A,global,0.4,0.5224105263157894,0.0693844131394335,0.4439157894736842,0.6330947368421052,0.0917806388264564,0.04761142773895231,5,0.5224105263157894,0.0917806388264564
AnomalyDAE,indirect,A,global,0.5,0.45540631578947366,0.05888566206366283,0.3852842105263158,0.5187368421052632,0.06590314691320598,0.04571865486030967,5,0.45540631578947366,0.06590314691320598
AnomalyDAE,indirect,A,global,0.6,0.3601536842105263,0.102110509252099,0.2133684210526315,0.4925368421052631,0.047560581119574244,0.01718190002648089,5,0.3601536842105263,0.047560581119574244
AnomalyDAE,indirect,A,global,0.7,0.24464421052631574,0.13221236891106214,0.0514315789473684,0.4182526315789474,0.03339100378228908,0.006611947958217311,5,0.24464421052631574,0.03339100378228908
AnomalyDAE,indirect,A,global,0.8,0.1834652631578947,0.1338542528999007,0.073178947368421,0.4071368421052631,0.03692524162075826,0.020255193160846886,5,0.1834652631578947,0.03692524162075826
AnomalyDAE,indirect,A,global,0.9,0.18224421052631576,0.08821106971318624,0.0674947368421052,0.2796,0.030699392284735,0.00342270721136161,5,0.18224421052631576,0.030699392284735
AnomalyDAE,indirect,A,global,1.0,0.21327999999999997,0.0783663863155315,0.0914736842105263,0.3093263157894736,0.0542328970135455,0.051105570452073555,5,0.21327999999999997,0.0542328970135455
AnomalyDAE,indirect,A,local,0.0,0.9175621052631578,0.06935429518341177,0.8179578947368421,0.9693473684210526,0.6334116812041779,0.15762544449238777,5,0.9175621052631578,0.6334116812041779
AnomalyDAE,indirect,A,local,0.1,0.85016,0.08333764796217276,0.7238736842105263,0.9489052631578948,0.398190614840598,0.11293223491542827,5,0.85016,0.398190614840598
AnomalyDAE,indirect,A,local,0.2,0.7361431578947368,0.08771019315552499,0.6386526315789474,0.8523368421052632,0.24412938665490863,0.14038537723154668,5,0.7361431578947368,0.24412938665490863
AnomalyDAE,indirect,A,local,0.3,0.5241263157894738,0.05354623549027571,0.4635789473684211,0.5921263157894737,0.06155912922588029,0.010872620227802521,5,0.5241263157894738,0.06155912922588029
AnomalyDAE,indirect,A,local,0.4,0.3703073684210526,0.05882994055595476,0.2997263157894737,0.459957894736842,0.039635233148417784,0.005072231985961709,5,0.3703073684210526,0.039635233148417784
AnomalyDAE,indirect,A,local,0.5,0.18996210526315785,0.07014578787629874,0.1146736842105263,0.3032842105263157,0.02994047175402076,0.0025032246680934665,5,0.18996210526315785,0.02994047175402076
AnomalyDAE,indirect,A,local,0.6,0.08641263157894734,0.08141891073289269,0.0332,0.2303157894736842,0.0271714230627217,0.0017824320402833572,5,0.08641263157894734,0.0271714230627217
AnomalyDAE,indirect,A,local,0.7,0.0442273684210526,0.03374173180756971,0.0021052631578947,0.089178947368421,0.02631843257801218,0.00043370316568089095,5,0.0442273684210526,0.02631843257801218
AnomalyDAE,indirect,A,local,0.8,0.03283368421052626,0.038036927967393434,0.0001263157894736,0.0851368421052631,0.02618356665725518,0.00033876091754368514,5,0.03283368421052626,0.02618356665725518
AnomalyDAE,indirect,A,local,0.9,0.00269894736842104,0.002471304566496762,0.0,0.0065473684210526,0.02593589569642988,1.2176082676813424e-05,5,0.00269894736842104,0.02593589569642988
AnomalyDAE,indirect,A,local,1.0,0.06984421052631576,0.09219285651417779,0.0008631578947368,0.1781263157894737,0.027299717544975077,0.0018986962560377176,5,0.06984421052631576,0.027299717544975077
AnomalyDAE,indirect,B,global,0.0,0.7137473684210527,0.0367932578431794,0.6796421052631578,0.7729052631578948,0.11396332343831513,0.03877169243317586,5,0.7137473684210527,0.11396332343831513
AnomalyDAE,indirect,B,global,0.1,0.5338568421052632,0.052198102087105076,0.4520842105263158,0.5753263157894737,0.056643260537896103,0.012673979864797107,5,0.5338568421052632,0.056643260537896103
AnomalyDAE,indirect,B,global,0.2,0.31382736842105263,0.12081937838735067,0.1982526315789473,0.508778947368421,0.03508653330060924,0.006996339024093521,5,0.31382736842105263,0.03508653330060924
AnomalyDAE,indirect,B,global,0.3,0.13637473684210524,0.03264824837389684,0.1150736842105263,0.1912,0.02804559595612442,0.0007695393459089265,5,0.13637473684210524,0.02804559595612442
AnomalyDAE,indirect,B,global,0.4,0.0637852631578947,0.0889626513186286,0.0072631578947368,0.2202315789473684,0.02700446384805038,0.00184063133772989,5,0.0637852631578947,0.02700446384805038
AnomalyDAE,indirect,B,global,0.5,0.007604210526315741,0.008457570818806336,0.0012210526315789,0.0222526315789473,0.02597362291862366,6.61569866240598e-05,5,0.007604210526315741,0.02597362291862366
