detector,camouflage,gamma,seed,n_seeds,condition,auc
AnomalyDAE,global,0.0,0,5,full,0.9902315789473685
AnomalyDAE,global,0.0,0,5,no_edges,0.4971157894736842
AnomalyDAE,global,0.0,0,5,rand_feats,0.45823157894736843
AnomalyDAE,global,0.0,1,5,full,0.9925894736842106
AnomalyDAE,global,0.0,1,5,no_edges,0.623957894736842
AnomalyDAE,global,0.0,1,5,rand_feats,0.5117684210526317
AnomalyDAE,global,0.0,2,5,full,0.9956842105263157
AnomalyDAE,global,0.0,2,5,no_edges,0.39635789473684213
AnomalyDAE,global,0.0,2,5,rand_feats,0.5199578947368422
AnomalyDAE,global,0.0,3,5,full,0.9966315789473684
AnomalyDAE,global,0.0,3,5,no_edges,0.4829684210526316
AnomalyDAE,global,0.0,3,5,rand_feats,0.4465473684210526
AnomalyDAE,global,0.0,4,5,full,0.9547157894736842
AnomalyDAE,global,0.0,4,5,no_edges,0.6425052631578947
AnomalyDAE,global,0.0,4,5,rand_feats,0.4756842105263158
AnomalyDAE,global,0.1,0,5,full,0.9558105263157894
AnomalyDAE,global,0.1,0,5,no_edges,0.4752421052631579
AnomalyDAE,global,0.1,0,5,rand_feats,0.45816842105263156
AnomalyDAE,global,0.1,1,5,full,0.9780421052631579
AnomalyDAE,global,0.1,1,5,no_edges,0.4424631578947368
AnomalyDAE,global,0.1,1,5,rand_feats,0.5056631578947368
AnomalyDAE,global,0.1,2,5,full,0.7592
AnomalyDAE,global,0.1,2,5,no_edges,0.13469473684210526
AnomalyDAE,global,0.1,2,5,rand_feats,0.5256
AnomalyDAE,global,0.1,3,5,full,0.9648210526315789
AnomalyDAE,global,0.1,3,5,no_edges,0.20149473684210525
AnomalyDAE,global,0.1,3,5,rand_feats,0.44488421052631577
AnomalyDAE,global,0.1,4,5,full,0.8909684210526315
AnomalyDAE,global,0.1,4,5,no_edges,0.38486315789473685
AnomalyDAE,global,0.1,4,5,rand_feats,0.48513684210526314
AnomalyDAE,global,0.2,0,5,full,0.8996210526315789
AnomalyDAE,global,0.2,0,5,no_edges,0.24248421052631577
AnomalyDAE,global,0.2,0,5,rand_feats,0.46482105263157897
